680444-G,107,1,,,,103.51,-3.49,,,
707619-G,50,1,,,,49.27,-0.73,,,
709693-P,9,1,,,,9.14,0.14,,,
715786-P,0,1,,,,0,0,,,
730723-P,54,1,,,,47.88,-6.12,,,
761739-P,0,1,,,,2.98,2.98,,,
778449-G,86,1,,,,81.46,-4.54,,,
778483-G,109,1,,,,100.93,-8.07,,,
778494-P,158,1,,,,1973.31,1815.31,,,
816104-G,1067,1,,,,1042.48,-24.52,,,
842864-G,307,1,,,,648.5,341.5,,,
858286-G,922,1,,,,889.9,-32.1,,,
869410-P,23,1,,,,23.05,0.05,,,
874759-P,153,1,,,,147.42,-5.58,,,
885541-G,0,1,,,,12.12,12.12,,,
887069-G,0,1,,,,5.96,5.96,,,
964512-P,91,1,,,,95.76,4.76,,,
981997-G,267,1,,,,230.47,-36.53,,,
998367-G,1412,1,,,,1324.22,-87.78,,,
999462-P,44,1,,,,80.27,36.27,,,
1010420-P,238,1,,,,230.67,-7.33,,,
1020479-G,0,1,,,,0,0,,,
1024391-G,466,1,,,,698.37,232.37,,,
1038557-P,799,1,,,,891.09,92.09,,,
1058975-P,215,1,,,,206.43,-8.57,,,
1132838-G,3,1,,,,2.38,-0.62,,,
1188961-G,0,1,,,,0,0,,,
1222602-P,0,1,,,,0,0,,,
1240875-P,149,1,,,,135.3,-13.7,,,
1243681-G,0,1,,,,0,0,,,
1244753-G,140,1,,,,150,10,,,
1263747-P,2,1,,,,2.38,0.38,,,
1268593-P,0,1,,,,19.67,19.67,,,
1286131-P,0,1,,,,0,0,,,
1342865-G,452,1,,,,525.51,73.51,,,
1348409-P,0,1,,,,0,0,,,
1389022-P,2,1,,,,1.59,-0.41,,,
1443056-P,682,1,,,,696.78,14.78,,,
1443374-P,410,1,,,,397.17,-12.83,,,
1443374-G,468,1,,,,450.21,-17.79,,,
1443556-P,1517,1,,,,1461.31,-55.69,,,
1458293-P,0,1,,,,0,0,,,
1476024-G,3682,1,,,,3405.41,-276.59,,,
1508232-G,0,1,,,,153.78,153.78,,,
1523688-G,0,1,,,,1338.92,1338.92,,,
1566718-P,26,1,,,,173.85,147.85,,,
1567460-P,0,1,,,,0,0,,,
1581437-P,0,1,,,,0,0,,,
1641152-G,15,1,,,,19.07,4.07,,,
1742898-P,0,1,,,,0,0,,,
1751208-G,0,1,,,,0.2,0.2,,,
1793448-P,0,1,,,,0,0,,,
1813554-P,0,1,,,,0,0,,,
1816633-G,131,1,,,,127.75,-3.25,,,
1862846-P,1,1,,,,0.6,-0.4,,,
1869621-G,0,1,,,,100.93,100.93,,,
1873183-G,0,1,,,,0,0,,,
1880440-P,3,1,,,,15.1,12.1,,,
1932747-P,0,1,,,,10.73,10.73,,,
1949720-G,76,1,,,,72.72,-3.28,,,
2018806-G,40,1,,,,38.94,-1.06,,,
2029972-G,1757,1,,,,2637.3,880.3,,,
2144118-G,0,1,,,,0,0,,,
2159606-P,0,1,,,,528.3,528.3,,,
2184454-P,35,1,,,,33.18,-1.82,,,
2185695-G,237,1,,,,1903.77,1666.77,,,
2185695-P,4,1,,,,2.58,-1.42,,,
2253103-P,5,1,,,,6.16,1.16,,,
2254004-G,0,1,,,,41.13,41.13,,,
2266662-G,0,1,,,,14.7,14.7,,,
2285452-G,280,1,,,,327.43,47.43,,,
2309888-P,0,1,,,,5.56,5.56,,,
2313486-P,3,1,,,,40.13,37.13,,,
2376832-P,0,1,,,,0,0,,,
2423510-G,156,1,,,,147.02,-8.98,,,
2431336-P,35,1,,,,117.42,82.42,,,
2452655-P,1,1,,,,8.54,7.54,,,
2487243-G,4,1,,,,3.77,-0.23,,,
2492504-G,515,1,,,,528.89,13.89,,,
2510227-G,123,1,,,,154.57,31.57,,,
2515879-P,635,1,,,,628.43,-6.57,,,
2516907-P,95,1,,,,91,-4,,,
2531308-P,0,1,,,,12.52,12.52,,,
2579579-G,51,1,,,,49.07,-1.93,,,
2587420-G,0,1,,,,83.65,83.65,,,
2641443-P,0,1,,,,0.79,0.79,,,
2661043-G,44,1,,,,1.99,-42.01,,,
2684528-P,0,1,,,,13.51,13.51,,,
2700949-G,3966,1,,,,3779.73,-186.27,,,
2734829-G,39,1,,,,143.25,104.25,,,
2736994-G,50,1,,,,48.08,-1.92,,,
2737226-G,44,1,,,,129.74,85.74,,,
2739551-G,237,1,,,,240.21,3.21,,,
2860051-G,0,1,,,,0,0,,,
2892128-G,67,1,,,,62.39,-4.61,,,
2906414-G,57,1,,,,50.47,-6.53,,,
2917739-P,27,1,,,,25.03,-1.97,,,
2930963-G,158,1,,,,392.79,234.79,,,
2932583-P,75,1,,,,150,75,,,
2932969-P,2,1,,,,84.44,82.44,,,
3018937-P,0,1,,,,118.61,118.61,,,
3022342-G,5,1,,,,1145.6,1140.6,,,
3022751-P,167,1,,,,160.14,-6.86,,,
3076195-P,356,1,,,,349.08,-6.92,,,
3111362-P,5,1,,,,6.56,1.56,,,
3124025-P,0,1,,,,0,0,,,
3166265-G,11,1,,,,35.76,24.76,,,
3171673-P,0,1,,,,0,0,,,
3174934-P,0,1,,,,50.47,50.47,,,
3181564-P,13,1,,,,12.72,-0.28,,,
3187051-G,75,1,,,,70.93,-4.07,,,
3254704-G,184,1,,,,171.46,-12.54,,,
3254715-G,0,1,,,,6.76,6.76,,,
3260831-P,4,1,,,,3.97,-0.03,,,
3282926-G,0,1,,,,0,0,,,
3291449-P,1383,1,,,,1278.12,-104.88,,,
3301391-G,0,1,,,,0.6,0.6,,,
3367622-G,3517,1,,,,3395.67,-121.33,,,
3367928-G,0,1,,,,8.94,8.94,,,
3394103-G,0,1,,,,0,0,,,
3401909-G,89,1,,,,85.63,-3.37,,,
3405912-G,0,1,,,,0,0,,,
3415096-P,0,1,,,,1.19,1.19,,,
3468551-G,0,1,,,,100.33,100.33,,,
3485481-G,0,1,,,,0.99,0.99,,,
3485583-G,285,1,,,,279.15,-5.85,,,
3487523-P,7,1,,,,5.96,-1.04,,,
3505235-G,0,1,,,,0.2,0.2,,,
3507139-G,283,1,,,,387.83,104.83,,,
3685878-G,0,1,,,,4.57,4.57,,,
3713540-P,0,1,,,,0,0,,,
3722789-G,0,1,,,,315.9,315.9,,,
3734518-P,0,1,,,,0.2,0.2,,,
3740587-P,355,1,,,,343.92,-11.08,,,
3820062-G,0,1,,,,0.4,0.4,,,
3826140-G,0,1,,,,0,0,,,
3833292-G,0,1,,,,0,0,,,
3871269-P,28,1,,,,27.22,-0.78,,,
3916550-P,80,1,,,,85.43,5.43,,,
3925346-G,0,1,,,,0,0,,,
3931940-G,46,1,,,,57.42,11.42,,,
3975608-G,3,1,,,,2.78,-0.22,,,
3981791-G,1208,1,,,,1275.34,67.34,,,
3990781-G,362,1,,,,401.73,39.73,,,
3990861-G,28,1,,,,25.03,-2.97,,,
4016562-G,1,1,,,,50.47,49.47,,,
4018819-G,75,1,,,,98.94,23.94,,,
4024219-P,0,1,,,,0,0,,,
4070955-G,0,1,,,,0.4,0.4,,,
4086753-P,145,1,,,,134.91,-10.09,,,
4097147-G,37,1,,,,46.09,9.09,,,
4101364-P,0,1,,,,0,0,,,
4106472-P,2542,1,,,,2591.01,49.01,,,
4116512-P,159,1,,,,169.67,10.67,,,
4119180-P,0,1,,,,0,0,,,
4157931-P,31,1,,,,47.29,16.29,,,
4158627-P,0,1,,,,0.79,0.79,,,
4173017-G,6,1,,,,6.95,0.95,,,
4237143-P,6,1,,,,4.77,-1.23,,,
4253478-P,0,1,,,,3.18,3.18,,,
4257481-P,448,1,,,,444.45,-3.55,,,
4290602-G,0,1,,,,0.2,0.2,,,
4361506-G,76,1,,,,5155.4,5079.4,,,
4362918-G,15,1,,,,5.96,-9.04,,,
4388287-P,100,1,,,,107.69,7.69,,,
4439901-G,0,1,,,,0,0,,,
4446677-P,1295,1,,,,1183.35,-111.65,,,
4470126-P,0,1,,,,27.42,27.42,,,
